Job_Role,Required_Skills
Blockchain Developer,"web3, cryptography, smart contracts, defi, solidity, polygon"
Cybersecurity Analyst,"cryptography, linux, ethical hacking, network security, siem, soc, incident response"
Game Developer,"multiplayer networking, c#, game physics, c++, blender, unreal engine"
Database Administrator,"sql, database tuning, backup recovery, oracle"
NLP Engineer,"sentiment analysis, bert, python, llms, huggingface, nlp, text classification, transformers"
Data Analyst,"python, excel, data visualization, pandas, power bi, tableau, sql, dashboarding"
Backend Developer,"microservices, spring boot, express, rest api, django, flask, nodejs"
AI Engineer,"langchain, nlp, llms, openai api"
NLP Engineer,"python, bert, text classification, sentiment analysis, llms, huggingface, nlp, transformers"
Machine Learning Engineer,"deep learning, pytorch, docker, tensorflow, aws, computer vision"
Data Scientist,"tensorflow, sql, statistics, feature engineering, matplotlib, nlp, numpy, seaborn"
Business Analyst,"requirement gathering, communication, data analysis, documentation, sql, jira, power bi"
Data Scientist,"pandas, nlp, feature engineering, tensorflow"
Database Administrator,"sql, oracle, performance optimization, backup recovery, mysql"
Cybersecurity Analyst,"wireshark, firewalls, network security, incident response, ethical hacking, penetration testing, vulnerability assessment"
Game Developer,"unreal engine, game physics, c#, unity, 3d graphics"
Network Engineer,"routing, linux, network security, switching, tcp/ip, cisco"
Full Stack Developer,"mongodb, react, docker, firebase"
AR/VR Developer,"3d modeling, unity, arkit, vr interaction, c#, arcore"
AI Engineer,"llms, nlp, prompt engineering, huggingface, transformers, langchain, tensorflow, deep learning"
Database Administrator,"oracle, backup recovery, database tuning, performance optimization, postgresql, sql, mysql"
Frontend Developer,"javascript, tailwind, vue, bootstrap, css"
Data Analyst,"pandas, data visualization, statistics, python, sql, tableau, excel, dashboarding"
Data Scientist,"statistics, seaborn, deep learning, tensorflow"
Database Administrator,"postgresql, performance optimization, oracle, backup recovery, mysql, sql"
QA Engineer,"selenium, cypress, postman, api testing, automation testing, performance testing"
Computer Vision Engineer,"deep learning, opencv, tensorflow, yolo"
AI Engineer,"huggingface, deep learning, rag, prompt engineering, python, nlp, openai api, tensorflow"
Business Analyst,"power bi, data analysis, documentation, requirement gathering, excel, jira, communication"
Cybersecurity Analyst,"linux, soc, incident response, wireshark"
Embedded Systems Engineer,"embedded linux, microcontrollers, iot, c, c++, raspberry pi"
iOS Developer,"api integration, swift, firebase, swiftui, ios, core data, xcode"
DevOps Engineer,"docker, linux, ansible, monitoring, bash, aws"
Frontend Developer,"responsive design, figma, html, tailwind"
Site Reliability Engineer,"prometheus, monitoring, incident management, linux, aws, kubernetes, docker, terraform"
Business Analyst,"documentation, sql, jira, requirement gathering"
Data Scientist,"seaborn, python, sql, pandas, deep learning, statistics, machine learning"
Android Developer,"firebase, rest api, android studio, java, jetpack compose, kotlin"
Software Tester,"jira, selenium, automation testing, manual testing, test cases, api testing"
Computer Vision Engineer,"deep learning, object detection, python, cnn, opencv"
Data Scientist,"machine learning, numpy, feature engineering, sql"
Mobile App Developer,"dart, ios, kotlin, mobile ui, react native"
Embedded Systems Engineer,"iot, c++, embedded linux, raspberry pi"
Game Developer,"game physics, c++, unreal engine, multiplayer networking, 3d graphics, unity"
Embedded Systems Engineer,"iot, raspberry pi, arduino, embedded linux, c, c++, microcontrollers"
Cybersecurity Analyst,"cryptography, firewalls, soc, incident response, penetration testing"
Cybersecurity Analyst,"wireshark, vulnerability assessment, penetration testing, firewalls"
Embedded Systems Engineer,"c, arduino, embedded linux, microcontrollers, raspberry pi"
Android Developer,"kotlin, android studio, sqlite, jetpack compose"
Business Analyst,"sql, requirement gathering, communication, excel"
Full Stack Developer,"tailwind, rest api, python, django"
Network Engineer,"vpn, firewalls, tcp/ip, routing"
Computer Vision Engineer,"deep learning, cnn, opencv, image processing"
Network Engineer,"network security, cisco, vpn, linux, firewalls"
UI/UX Designer,"wireframing, user research, prototyping, figma, adobe xd"
Database Administrator,"oracle, mysql, sql, performance optimization, postgresql, backup recovery, database tuning"
Cybersecurity Analyst,"siem, ethical hacking, incident response, network security, penetration testing, firewalls"
QA Engineer,"api testing, selenium, performance testing, postman"
NLP Engineer,"sentiment analysis, huggingface, text classification, nlp, llms, transformers"
AI Engineer,"llms, deep learning, transformers, rag, huggingface, openai api, vector databases"
Game Developer,"c++, game physics, blender, 3d graphics"
Embedded Systems Engineer,"iot, raspberry pi, c, embedded linux"
Android Developer,"rest api, material design, sqlite, jetpack compose"
DevOps Engineer,"ansible, jenkins, monitoring, docker, linux, terraform, kubernetes, aws"
Cloud Architect,"linux, ci/cd, networking, gcp, azure, terraform"
QA Engineer,"selenium, automation testing, postman, cypress"
Blockchain Developer,"cryptography, web3, hardhat, polygon, ethereum, blockchain security"
iOS Developer,"swiftui, swift, core data, ios, xcode"
DevOps Engineer,"jenkins, github actions, prometheus, kubernetes, linux, monitoring, aws, terraform"
Blockchain Developer,"defi, cryptography, smart contracts, solidity, web3, ethereum, hardhat, polygon"
Machine Learning Engineer,"deep learning, docker, model deployment, mlops, flask, kubernetes, pytorch"
Full Stack Developer,"docker, firebase, django, python, tailwind, mongodb, react, nodejs"
AR/VR Developer,"3d modeling, vr interaction, c#, arkit, arcore"
Cybersecurity Analyst,"penetration testing, siem, incident response, wireshark, soc, linux"
NLP Engineer,"python, llms, sentiment analysis, huggingface, transformers, bert"
Data Analyst,"statistics, sql, data visualization, pandas, dashboarding, python, tableau"
AR/VR Developer,"arkit, c#, arcore, vr interaction"
Embedded Systems Engineer,"c++, embedded linux, microcontrollers, iot, raspberry pi, c, arduino"
Machine Learning Engineer,"aws, pytorch, deep learning, computer vision, python, model deployment"
Cybersecurity Analyst,"siem, wireshark, linux, firewalls"
QA Engineer,"performance testing, selenium, automation testing, cypress, postman"
Computer Vision Engineer,"yolo, object detection, tensorflow, opencv"
Cloud Architect,"aws, kubernetes, terraform, azure, linux"
Game Developer,"game physics, c#, c++, 3d graphics, unreal engine"
Data Analyst,"power bi, python, excel, pandas, data visualization, tableau, statistics"
Business Analyst,"data analysis, jira, power bi, communication, excel"
AR/VR Developer,"arkit, unreal engine, vr interaction, 3d modeling, unity, arcore"
Data Analyst,"pandas, python, excel, sql, statistics, tableau"
Software Tester,"manual testing, automation testing, api testing, test cases"
Site Reliability Engineer,"incident management, prometheus, kubernetes, monitoring, aws, terraform, docker, linux"
Network Engineer,"cisco, linux, switching, firewalls, routing, network security, vpn"
Cloud Architect,"terraform, gcp, linux, aws, kubernetes, cloud security, azure"
Backend Developer,"django, nodejs, rest api, redis, python, postgresql"
DevOps Engineer,"jenkins, linux, monitoring, github actions, docker, aws"
Network Engineer,"linux, tcp/ip, cisco, routing, vpn, switching"
Backend Developer,"postgresql, microservices, express, django, python, java, mongodb"
AI Engineer,"nlp, openai api, huggingface, prompt engineering, transformers, tensorflow, rag"
Database Administrator,"mysql, oracle, backup recovery, postgresql, sql, performance optimization"
Business Analyst,"data analysis, power bi, sql, excel, communication, requirement gathering"
Game Developer,"multiplayer networking, c++, c#, blender"
Software Tester,"jira, test cases, selenium, automation testing"
Game Developer,"multiplayer networking, game physics, unity, 3d graphics, blender"
Machine Learning Engineer,"docker, computer vision, python, mlops"
Frontend Developer,"tailwind, figma, angular, html, css, responsive design"
UI/UX Designer,"user research, figma, design systems, adobe xd, responsive design, wireframing, prototyping"
AR/VR Developer,"arcore, c#, vr interaction, unreal engine, unity, arkit"
DevOps Engineer,"docker, ansible, prometheus, aws, linux, bash, monitoring"
Site Reliability Engineer,"linux, terraform, prometheus, docker, monitoring, incident management, aws, kubernetes"
Network Engineer,"switching, vpn, linux, cisco, tcp/ip, network security, routing"
Network Engineer,"linux, cisco, switching, network security, vpn, tcp/ip"
Backend Developer,"mongodb, django, java, express"
Site Reliability Engineer,"docker, linux, kubernetes, aws"
AI Engineer,"tensorflow, langchain, vector databases, huggingface, prompt engineering, nlp"
Full Stack Developer,"javascript, python, react, rest api, tailwind, express, nodejs, firebase"
Blockchain Developer,"web3, cryptography, polygon, ethereum, blockchain security, hardhat, defi, solidity"
iOS Developer,"swiftui, ios, xcode, core data, swift, firebase, api integration"
Mobile App Developer,"flutter, android, dart, ios"
Backend Developer,"python, django, mongodb, rest api"
Cloud Architect,"gcp, linux, docker, terraform, aws, azure, networking"
Game Developer,"3d graphics, blender, c++, unreal engine, c#"
Site Reliability Engineer,"kubernetes, aws, docker, monitoring, prometheus, linux, incident management"
Game Developer,"c#, unreal engine, game physics, unity"
Computer Vision Engineer,"python, image processing, yolo, tensorflow, deep learning, object detection, opencv, cnn"
Site Reliability Engineer,"kubernetes, incident management, docker, terraform, aws"
Full Stack Developer,"javascript, tailwind, mongodb, docker, django, rest api"
Machine Learning Engineer,"kubernetes, fastapi, docker, aws, python, deep learning, flask, model deployment"
Site Reliability Engineer,"linux, docker, monitoring, terraform, prometheus, kubernetes, incident management"
Cybersecurity Analyst,"siem, soc, firewalls, network security, cryptography, incident response, linux"
Data Analyst,"sql, statistics, data visualization, dashboarding, pandas, power bi, python, excel"
UI/UX Designer,"design systems, prototyping, adobe xd, user research, figma, responsive design, wireframing"
DevOps Engineer,"ansible, kubernetes, bash, aws, prometheus, monitoring, github actions"
Business Analyst,"documentation, data analysis, sql, excel, communication, power bi, requirement gathering, jira"
